site_id,site_name_short,water_body,date,type,do_mg,sal,tss,n_total,p_po4,p_total
1911,Corio,Port Phillip  Bay,1990-05-31,surface,8.7,36.0,1.6,180.0,96.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-05-31,surface,8.0,34.0,3.4,220.0,130.0,160.0
939,Patterson River,Port Phillip  Bay,1990-07-11,surface,9.3,34.0,2.0,380.0,100.0,100.0
1229,Central,Port Phillip  Bay,1990-07-11,surface,9.3,35.0,1.0,130.0,65.0,73.0
1282,Dromana,Port Phillip  Bay,1990-07-11,surface,9.3,35.0,1.7,170.0,76.0,87.0
369,Long Reef,Port Phillip  Bay,1990-07-12,surface,9.4,35.0,1.9,350.0,140.0,160.0
1911,Corio,Port Phillip  Bay,1990-07-12,surface,9.3,36.0,11.0,180.0,100.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-07-12,surface,9.1,32.0,3.1,260.0,3900.0,110.0
369,Long Reef,Port Phillip  Bay,1990-10-09,surface,9.4,35.0,2.2,350.0,160.0,170.0
939,Patterson River,Port Phillip  Bay,1990-10-09,surface,8.9,27.0,10.0,800.0,120.0,160.0
1229,Central,Port Phillip  Bay,1990-10-09,surface,7.9,34.0,1.8,170.0,68.0,78.0
1282,Dromana,Port Phillip  Bay,1990-10-09,surface,8.5,35.0,1.8,150.0,48.0,65.0
1911,Corio,Port Phillip  Bay,1990-10-09,surface,9.5,35.0,1.6,200.0,97.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-10-09,surface,6.8,32.0,2.8,230.0,57.0,96.0
369,Long Reef,Port Phillip  Bay,1990-11-28,surface,8.1,35.0,3.4,250.0,120.0,130.0
939,Patterson River,Port Phillip  Bay,1990-11-28,surface,7.7,34.0,2.8,180.0,81.0,90.0
1229,Central,Port Phillip  Bay,1990-11-28,surface,7.7,34.0,2.4,120.0,69.0,69.0
1282,Dromana,Port Phillip  Bay,1990-11-28,surface,8.0,35.0,2.5,120.0,46.0,54.0
1911,Corio,Port Phillip  Bay,1990-11-28,surface,7.7,35.0,2.5,180.0,100.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-11-28,surface,7.9,33.0,4.0,260.0,100.0,120.0
